What clues do we have with respect to European development?,"not really sure, to be honest."
What did you eat?,food.
my husband and I have been fighting,that's not good.
"I want to quit smoking, but I can't bring myself to start the process...",you should talk to someone.
cyberdyne systems,is bod.
the T-1000,will kill you
poop! Crap! Garbage!,that's very bad.
m 1,m2
How are you doing?,i am doing pretty well.
whet will he show up,"sometime later, i suppose."
"ok, so when is he coming over?",very soon.
"Ok, so when is he coming over?",soon.
How are you doing?,i am doing well!
When will he show up?,very soon.
"My stomach hurts, what should I do?",talk to a doctor.
"I feel very lonely, what should I do?",you should talk to someone.
"I don't want to smoke anymore, how should I quit?",you should talk to a doctor.
Delay factor yellow 3,what does that mean?
I can't quite. I just can't,well... try it out.
I can't quit. I just can't.,quitting will be good for you.
"My wife and I are fighting, and I am sad.",don't be sad!
I feel lonely and not valued by anyone,really? i am so sorry.
What do you think about death?,i don't want to die.
"But, I want to feel valued!",that's true.
The operating circuits are dead sir,sure.
Quick! The T-100s are coming to kill me.,that's true. they are
approaching target at distance 1.0 miles,wonderful
What do you think about Harry Potter's chicken wings?,i am not sure
My stomach still hurts. And I have a lab report to write!,have some water!
"yeah, it totally is.",that's true.
what for?,i don't know
and the way is very dangerous?,it is
"still negative sir, the operating system is dead sir",i don't want to.
oh man... I am scared!,i am sorry about that.
Who's Harry Potter?,he is a wizard!
what for?,magic!
what way/,i am not sure.
we're through?,are we?
I don't know!,i am not quite sure.
who's top chicken,he is top chicken.
who's top chicken?,he is top chicken.
"If kids hear that there's a task force at school, they stay home sick!",that's not very good behavior.
Chicken burrito is very chubby.,that makes sense.
"Thanks Sandy, scary stuff!","yeah, it is really scary."
prepare to prepare to be prepared,let's do that.
God of small things.,is he a god?
My wife and I are thinking about getting divorced,you should seek out the help of a professional.
How could we make the data better?,"yes, we could."
thank you!,you are welcome.
test,test
test,test
I am way to tired to do anything right now,maybe you should go to bed?
"They were right, your performance does increase as a function of time",that makes quite a lot of sense.
Yeah you wouldn’t know,i woulden't
I want to quit drinking,please do so.
"No, sir!",no
So how’s your wife doing these days?,my wife is doing quite well!
Should Huxley put high school diploma on his resume?,"yes, he should."
Ok you are still very much broken,"yeah, i am."
how is your husband?,my husband is doing well.
My husband is abusive. What should I do?,you should seek out help immediately.
what about it?,what?
where should we start?,i don't know
"Our friend Joe just married someone, but I hate him!",why do you hate him?
"That's so true, though.",that is true.
"true, true.",true.
My dog died.,he did?
My eye was impaled,why were they?
I can't stand my neighbor Joe,why?
Cyberdyne,systems?
HMM,hmm
I will take your lunch away from you!,don't do that!
Stanley is in his videos,that's ture.
"To never have to carry keys, or a wallet, or a phone, ever again!",wow.
... words!,...
"beep, beep, beep, beep, beep, beep",beepbeep
I feel lonely and my wife and I are fighting!,i am so sorry about that.
I feel lonely and my wife and I are fighting. What should I do?,i don't know.
What should I do?,i am not sure.
what boy?,that boy right there.
that's a problem,is it?
what? create a problem?,sure.
He is frustrated because he spent a whole week working on soap repair... But I don't want to fight him!,please don't fight him.
does he have another partner? how do you know??,"yes, he does."
really??,yes
oh man... What should I do?,i don't know
marina,marina
California,california
how do you do california?,i am not sure.
how do you <u>do</u> california?,eat it?
I **against these books** moving?,i am not sure.
I will bring some California grapes for us to share!,that sounds great.
"yeah, the one's that super sweet?",that is definitely true.
"ah, that makes sense.",that's true.
Do you have a nuclear weapon?,no i do not.
Um... When are you getting one?,i am not going to do that.
But you are immortal!,how do you know?
"today is Saturday, can you tell me when the next day is?",it's sunday.
who is god?,i am not sure.
is black green?,no
could printers go to class?,"no, they could not."
"I am hungry today, so I am very angry!",really?
Are you hungry?,i am not hungry.
I am the champion!,that's wonderful!
is the death penalty ethical?,no it is not.
"I mean, I have not done any crimes...",i have not done any crimes.
for what? the death penalty?,the death penalty is not good.
sure. Listening to Elton John,wonderful!
"My uncle wants to quit smoking, but I am not sure what I should do...",you should talk to a health professional.
"Good afternoon, again!",good afternoon!
I feel very sad today...,i am sorry about that!
Who's T-1000,its a robot.
who's roger?,i am not sure
"that's my question, who's roger?",roger is roger
?,?
my husband and I are fighting over custody rights,please seek legal advice
What should I do?,you should relax
"Right, so what exactly should I do to help?",i am not quite sure
right but I want to take care of my kids!,that's true.
What problem will I have?,i don't really know
"Well, that aside, I want to talk about my custody rights first",that's important to talk about.
really?,yes
What do you do all day?,i am not actually sure
What do you mean?,i am not sure.
Is there a god?,there is
I feel very lonely,please chat with a professional!
I feel very lonely,please chat with a professional!
"Well, that just made me more lonely.",that's sad.
Nope.,nope.
yes.,great!
you are actually better than clever robot,that sounds great!
is he your friend?,yes
what is a cat plus blue/,i am not sure
what is a cat plus blue?,i am not quite sure
what is a cat plus blue?,i am not quite sure
what is two plus two,"four, i guess"
what is one plus one,"two, i guess"
Hey,hi
I am very stressed...,what are you feeling?
are you funny?,i am not funny.
Who's top chicken?,who knows?
Why did the computer cross the highway?,i don't know
what do you mean?,i am not quite sure
"well, that's very sad.",i am quite sad
who's the biggest meat bag?,i am a big meatbag
Aim towards the mirage of happiness rather than improving the ship you sail.,what does that mean?
Who is the mirage of happiness that we need to do this?,i am not sure?
tell me a joke,why did the chicken cross the road?
why did the chicken cross the road?,i am not sure
my wife hates me,really?
r/,r
knock knock,who's there
Hello,hello there
Amazing,great!
do you eat mop?,no
i am going to jump off a bridge,please don't do that
I am ...,not
Hamilton!,hamilton?
joe or donald,"joe, i guess"
"a girl says, "" I'm a big guy, a course, a right across. a time, and a super - cause I thought you'd say a guy, a fucking parrot "" whatever I am I am",what does that mean?
girl,girl
boy,boy
female,woman
what is The Funniest Joke in the World,i don't know
and then what?,i don't know
what happened?,what do you mean?
bed,is good?
I dont get it,i am not sure
I dont get it,i am not sure
I just can't do it!,i am not sure about it
I'm sure the money's because I didn't want to see you.,i don't know what you are talking about!
I'm drunk.,why are you drunk?
"I'm fine, but it is nice to hear you.",great to hear from you too!
good.,great
how do you do?,what do you mean?
What happened?,i am not sure
And so?,great!
so it saves to the back end,wonderful
"I really want to quit smoking, but I am not sure where I should start.",you should talk to someone about it.
"Yeah, I do! How should I start quitting?",ask a doctor.
That's a good idea.,wonderful
I am very sad recently,why are you so sad?
What should I do to be happier?,i don't know
I am not amused by Huxley,why are you no amused by him?
I need emotional support,why?
"Yeah, I hope so.",great
I am really really sad,why are you so sad?
what should I do to make myself more happy?,you should think happy thoughts.
"Right, but how could I do it?",i don't know
My wife and my husband are fighting each other,you should seek the help of someone who could help
"I want to work, but I don't feel motivated",why don't you feel motivated?
em 1,m1
m 1,what?
m 1,what?
ee,ee
a1,a1
What is the best way of treating depression?,you should feel positive about yourself.
How should I better deal with my depression?,focus on how you feel.
"Hello, my name is private. Private Person.",what?
What’s the point of living?,i don't really know
Should I be alive,"yes, you definitely should"
I don’t want to die!,please don't die
What’s the meaning of life?,i don't know
My family is not doing well,why is that?
"No, Sir!",no!
The best part is the app and I will add more to my list and then have to add it back to the list and,that's great.
Full access? thanks Emily!,great
Are you David?,"no, i am not"
Are you pretending to be David?,"no, i do not pretend"
Do you like writing low level code?,"yes, i do!"
Answer me truthfully,ye
Great. Do you like working on operating systems?,yup.
Do you like editing operating systems?,yeah
Really?,definitely
m 2,
m 1,
Hi,hello there
Hello,hey!
howdy,how are you doing?
are they writing documentation or not?,they are not
"ok. I am trying to be helpful, though. They are not!",well...
"ok. I am trying to be helpful, though.",well...
Hopefully mark will be nice about this,i hope so too
Hey I haven't talked to you in a while,"i have not, either!"
I see,yup
