parentID,replyID,parentHandle,replyHandle,parentText,replyText
1303012637064802306,1303083430222221315,realDonaldTrump,egamebossmedia,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews 🗣️💬 LMAO we know who sold #America the f*** out, Mr. #BoneSpurs. 🇷🇺🤝🇺🇲

#GOPComplicitTraitors
#GOPBetrayedAmerica
#VoteBidenHarrisToSaveAmerica"
1302961482716639233,1303083428229689346,realDonaldTrump,LewisHu42348664,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",You're confusing marks with deaths.
1302996272249548807,1303083423884402688,realDonaldTrump,Jule00235744,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",Something for the Clown in Chief to reflect on... the American  public has had 3 +years  listening to you..conclusion..most think the crazy things written are true..because..stupid things come out of your trumpet mouth rveryday!
1303006236078637064,1303083421330108416,realDonaldTrump,PabloPinedoMD,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",LIAR! LIAR! LIAR!
1302961482716639233,1303083421288275968,realDonaldTrump,Patticakexmas,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",Trump I never got high grades you had people take your test for you they got the high grades
1302996272249548807,1303083417811038208,realDonaldTrump,wendygindo,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",Ok.....please reread your tweet and tell me that is not the tweet of an eight year old boy.
1302969740374298624,1303083415105925125,realDonaldTrump,PeonyPussay,"Biden Underperforming! @OANN What else is new, the story of his life.",@OANN Ok comrade Trump!
1303006236078637064,1303083410458644482,realDonaldTrump,john_gentile,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",It already crashed. You’d know this if you weren’t always golfing.
1302972258034614273,1303083408701054976,realDonaldTrump,FPly,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?","Yes, I egt the picture. YOU are FAILING bigly and are trying desperately to distract us. It is not working and you are losing. Jail is looming for you Mr. ""Lock them up."""
1302675943241199618,1303083406587293697,realDonaldTrump,not_maddie_,These are the Democrats “peaceful protests”. Sick!,stfu you small dick havin ass
1302769466804252673,1303083404674478080,realDonaldTrump,LaurieAnneScott,"A massive Disinformation Campaign is going on by the Democrats, their partner, the Fake News Media, &amp; Big Tech. They create false stories and then push them like has never been done before, even beyond the 2016 Campaign. It imperils our Country, and must stop now. Victory 2020!",Don the con is fake.
1302961482716639233,1303083403701620744,realDonaldTrump,michaelpopplew8,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",Lies
1303012637064802306,1303083402564956161,realDonaldTrump,fjordwatch,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews .l.. 

andrewwwwww broadfart"
1302961482716639233,1303083402455732224,realDonaldTrump,lorrijaye,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!","Uhm...
Who is doing this rating? The undertakers?"
1302964489806139392,1303083396198019074,realDonaldTrump,leonardb420,"Will be having a Labor Day News Conference today at the White House, 1:00 P.M. Jobs number, and the Economic comeback, are looking GREAT. Happy Labor Day!",F U
1302970414394740736,1303083394557911044,realDonaldTrump,dscozzesi,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",Not created. Don’t be silly.
1303012637064802306,1303083393492692995,realDonaldTrump,MarieNottoli7,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!",@BreitbartNews
1303012637064802306,1303083393320538112,realDonaldTrump,mediarosey,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews BOOM, Everyone knows its true. ""Suckers &amp; Losers""  You also called traumatic brain injuries to soliders headaches. ""I don’t consider them very serious injuries."""
1303012637064802306,1303083391529574400,realDonaldTrump,DKMogg,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews What are the chances that anything coming out of trumps pie hole, or @BreitbartNews is actually true?"
1302961482716639233,1303083390770573313,realDonaldTrump,slender_xxxxx,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",Is Junior the one giving you high marks?
1302996272249548807,1303083388874772481,realDonaldTrump,mrssid22,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",How old are you????  Feel like I'm reading a 3rd graders tweet
1302996272249548807,1303083386353975298,realDonaldTrump,KB66027495,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",Did he mention your coke problem? Coke rocks flying out this pig's snout! #TrumpMeltdown
1302968271306711046,1303083386236481536,realDonaldTrump,bigdtah,Gordon Chang: China Seems ‘to Be Favoring Joe Biden‘ in Presidential Election  via @BreitbartNews. Of course they want Biden. I have taken $Billions from China and given it to our Farmers and U.S. Treasury. China would own the U.S. if Biden &amp; Hunter got in!,"@BreitbartNews Let’s never forget trump has killed 193,000 Americans so far.  6 million cases.  500,000 deaths by Election Day this is why trump will LOSE.   All the violence in this county is under trumps administration"
1303012637064802306,1303083385636687874,realDonaldTrump,Ztruth5,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews Oh, “Zach Fuentes!?” Totally (not) convinced."
1302996272249548807,1303083377906585600,realDonaldTrump,carloshcprieto,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!","Are you in the closet? Do U like asian queers?
That's why you're talking bad of militars"
1303006236078637064,1303083373808754690,realDonaldTrump,Grannygetyourg1,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!","In case you haven't noticed, tiny, people are financially suffering. Over 8% unemployment is nothing to brag about. Moron."
1302969740374298624,1303083372940460032,realDonaldTrump,yunngneek,"Biden Underperforming! @OANN What else is new, the story of his life.",@OANN Hey y’all. Check out this music! It’s what we need in this country right now. Rebellious musical acts.
1303012637064802306,1303083370805473286,realDonaldTrump,RitaWatnick,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews Everyone Knows It’s True
Trump disparaged veterans.
Trump is damaging the country.
The scandals are in plain view for all to see:
La David Johnson
Dillon Baldridge
Ryan Owens
Bill McRaven
Jim Mattis
John Kelly
Stanley McChrystal
John Allen
Brett Crozier"
1302769466804252673,1303083370063171584,realDonaldTrump,caustic_charlie,"A massive Disinformation Campaign is going on by the Democrats, their partner, the Fake News Media, &amp; Big Tech. They create false stories and then push them like has never been done before, even beyond the 2016 Campaign. It imperils our Country, and must stop now. Victory 2020!",Break up the media monopoly
1303012637064802306,1303083367928225792,realDonaldTrump,EdwinaDuncan20,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!",@BreitbartNews Try harder. Breitbart. Ahahahaha.
1302339764218204160,1303083362446225408,realDonaldTrump,danieldschaefer,"Nancy Pelosi said she got “set up” by the owner (a very good one) of a beauty parlor. If so, how will she do in negotiations against President Xi of China, President Putin of Russia, or Kim Jong Un of North Korea. Not so well, I suspect, but far better than Joe Hiden’ would do!",BUT WHAT ABOUT STROKEALICIOUS?
1303006236078637064,1303083361037033472,realDonaldTrump,SomeNobodye,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!","The gdp dropped to -9%, the lowest it has been in history. While under your presidency. It will happen next year when the guy who doesn’t need a spray tan becomes president."
1302969740374298624,1303083358520451072,realDonaldTrump,FreedomTVR,"Biden Underperforming! @OANN What else is new, the story of his life.","@OANN #JoeBiden is a self-made man who made his way in the world the American way, by hard work. He’s a loyal husband and father 

Unlike you who was born-rich &amp; entitled; inherited a $400 million business from your daddy

I’m voting #BidenHarris"
1302968271306711046,1303083356700065792,realDonaldTrump,Lon86690798,Gordon Chang: China Seems ‘to Be Favoring Joe Biden‘ in Presidential Election  via @BreitbartNews. Of course they want Biden. I have taken $Billions from China and given it to our Farmers and U.S. Treasury. China would own the U.S. if Biden &amp; Hunter got in!,"@BreitbartNews Breitbart is a propaganda rag. Bannon, it’s cool-founder, like most Trump insiders, indicted for fraud.
The most corrupt Administration ever."
1302961482716639233,1303083347984482306,realDonaldTrump,The8treGirl,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!","Liar, liar!  Pants on fire!

Maybe speaking childish will get thru' to you."
1302769466804252673,1303083347665539073,realDonaldTrump,_SexyWater_,"A massive Disinformation Campaign is going on by the Democrats, their partner, the Fake News Media, &amp; Big Tech. They create false stories and then push them like has never been done before, even beyond the 2016 Campaign. It imperils our Country, and must stop now. Victory 2020!",@Real_Chimpanion Pot calling the Kettle black
1302996272249548807,1303083346600300544,realDonaldTrump,KelKarman,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!","You  say these stupid horrible things, then when you get backlash you try to say it was just a joke or you didn't mean it. No one with any common sense is buying it. #TrumpIsALiar"
1303006236078637064,1303083344054321155,realDonaldTrump,davidstevencalv,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!","You need to have a compassion transplant all lives matter,even your lowly one .on the way up the mountain remember to be good to those you pass.
You pass them on the way down and you have been there!"
1302972258034614273,1303083342225502208,realDonaldTrump,sojournero,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?",Fascist
1303006236078637064,1303083341009256448,realDonaldTrump,OLovekill,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",Gobshite.
1303006236078637064,1303083339809775619,realDonaldTrump,CaroleLeonard54,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",You are delusional
1302559362771292160,1303083339599892480,realDonaldTrump,kwc813,"Steve Jobs would not be happy that his wife is wasting  money he left her on a failing Radical Left Magazine that is run by a con man (Goldberg) and spews FAKE NEWS &amp; HATE. Call her, write her, let her know how you feel!!!",Trump is the consummate illogical hypocrite.  Cons don't last long when faced with the truth.
1302970414394740736,1303083336445779968,realDonaldTrump,jilly751,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",Created?? Why do you lie.  It’s less jobs than before covid.  These were rehires.  God his supporters are morons for believing this crap
1302970414394740736,1303083336118816770,realDonaldTrump,byronesk,"10.6 Million Jobs Created In Just 4 Months, A Record!!!","If you ignore the 35 million jobs lost just before.
No wonder you bankrupted your fucking casino.
Trump - we can't be bust - we won 2 million last week.
Manager - we lost 5 million every week for the month before.
#TrumpEconomicImbecile"
1302970414394740736,1303083329592479751,realDonaldTrump,rjb772,"10.6 Million Jobs Created In Just 4 Months, A Record!!!","You seem to forget the 22 MILLION LOST IN THE PRECEEDING MONTHS, Sparky 🤦‍♂️"
1302945089963126789,1303083324425015296,realDonaldTrump,bigdtah,Thank you!,"Let’s never forget trump has killed 193,000 Americans so far.  6 million cases.  500,000 deaths by Election Day this is why trump will LOSE.   All the violence in this county is under trumps administration"
1302970414394740736,1303083316871147523,realDonaldTrump,BigChoPPz,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",I'm just happy to have my job to support my kids and my no good ex wife
1303006236078637064,1303083309837070336,realDonaldTrump,Cal_HAM,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",Lol ... enjoy the bully pulpit and your BS rants because you’re about to get voted out
1303006236078637064,1303083305085132800,realDonaldTrump,motowncubbie79,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",We’ll be ok as long as you’re voted out. You’re the worst.
1302996272249548807,1303083302522294272,realDonaldTrump,sojournero,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",Fascist
1302970414394740736,1303083301683380224,realDonaldTrump,Shirleymusic101,"10.6 Million Jobs Created In Just 4 Months, A Record!!!","YES!!!! EVERYONE IS DYING TO GO TO WORK!!! But noooo. The Democrats rats keep it all closed!!!!
TRUMP 2020!!!!! VOTE RED PEOPLE!!!!"
1302769466804252673,1303083300752367618,realDonaldTrump,Iamzteach,"A massive Disinformation Campaign is going on by the Democrats, their partner, the Fake News Media, &amp; Big Tech. They create false stories and then push them like has never been done before, even beyond the 2016 Campaign. It imperils our Country, and must stop now. Victory 2020!",😂🤣😂😂🤣😂😂😂🤣😂😂😂😂🤣😂🤣😂🤣😂😂🤣😂🤣😂🤣😂🤣😂😂🤣😂🤣😂🤣😂🤣😂🤣🤣😂🤣😂🤣😂😂😂😂😂😂😂🤣😂😂😂😔😂😂😂😂🤣
1302961482716639233,1303083296172257280,realDonaldTrump,Patticakexmas,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",In your fucken dreams you are
1302449457045426178,1303083288576159744,realDonaldTrump,Meckman421Mike,"Wish I could join you, but totally focused on November 3rd. Thank you! #MAGA","You been focused on that since you took over in 2016. You haven't done anything else except...nothing constructive. You should have focused harder on Covid 19 you know if you had done what was required you would low unemployment, great stock market, empty hospitals, less cont."
1302972258034614273,1303083288219787264,realDonaldTrump,EddyPlaza2020,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?","So was 9/11 Giuliani's fault cause he was mayor at the time? 

Was the great recession the fault of every individual mayors and governors nationwide? 

The social unrest all across the nation isn't any specific mayor's fault.  It's the lack of leadership, the lack of a president."
1302970414394740736,1303083283773882373,realDonaldTrump,ddaniels2d,"10.6 Million Jobs Created In Just 4 Months, A Record!!!","*Job lost, then some came back. There fixed it for u Donnie."
1302972258034614273,1303083282486132736,realDonaldTrump,NOtrumpGOP2020,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?",It’s over your cotton candy for hair covered head trump. We no longer expect you to understand how things work. #trumpisamoron
1302970414394740736,1303083279516463104,realDonaldTrump,Ruthiejustme,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",They were not created they were already there just people being able to return to work. You creates nothing but destroyed a whole lot of stuff. But your the best in the whole wild world at ruining what you inherit.  If lockdown had been done right the 1st time we would not be her
1302996272249548807,1303083278220619777,realDonaldTrump,supernaut817,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",The president of the United States of America is a third-grade girl.
1303012637064802306,1303083276987494400,realDonaldTrump,zerfalle,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews Scum!!!!! president scum...

Donald Trump’s trade war with China resulted in a 140% increase of farm bankruptcies in Iowa."
1302996272249548807,1303083276429475841,realDonaldTrump,budmild22,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!","@Ejs77467848 Bolton's book was trash. His book should have been about where the Clinton, Lewinsky incident/s took place.  That ""room where it happened"" would have been much more interesting."
1303006236078637064,1303083276140261377,realDonaldTrump,fredericp,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",FAKE NEWS! Don’t believe this racist and anti-veterans President! He has been lying to you so many times. #TrumpIsATraitor #TrumpVirusDeathToll193K #TrumpFailed
1302972258034614273,1303083274252812291,realDonaldTrump,SimpkinHeather,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?",Hello! You are President.
1302968271306711046,1303083270863753216,realDonaldTrump,justsay69106232,Gordon Chang: China Seems ‘to Be Favoring Joe Biden‘ in Presidential Election  via @BreitbartNews. Of course they want Biden. I have taken $Billions from China and given it to our Farmers and U.S. Treasury. China would own the U.S. if Biden &amp; Hunter got in!,@BreitbartNews China favors Biden- Russia favoring Trump.
1302969740374298624,1303083266493288448,realDonaldTrump,kenklim,"Biden Underperforming! @OANN What else is new, the story of his life.",@OANN Q
1303012637064802306,1303083263972519937,realDonaldTrump,MitchellWinick,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!",@BreitbartNews
1302961482716639233,1303083258847145985,realDonaldTrump,jen_1jenniv,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",@Solmemes1 Yay!!
1302447673606275073,1303083258624774149,realDonaldTrump,HB04920973,Congratulations to the U.S. Marshals on a job well done in Portland. LAW &amp; ORDER!,"@KerriKupecDOJ Black Lives Matter but not for this child who was rented by the Obama's from thier best friends .
   SIC !!!!
Doesn't her life Matter BLM ?
Obama Hand Check.😡"
1302964489806139392,1303083254799622144,realDonaldTrump,liri57954853,"Will be having a Labor Day News Conference today at the White House, 1:00 P.M. Jobs number, and the Economic comeback, are looking GREAT. Happy Labor Day!",Why?? Can you have a Holiday?? Go home
1303006236078637064,1303083253704863746,realDonaldTrump,collins_wr,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!","......oThe Administration named artificial intelligence, quantum information science, and 5G, among other emerging technologies, as national research and development priorities.
oPresident Trump launched the American AI Initiative to invest in AI research, unleash innovation,.."
1302961482716639233,1303083251494395906,realDonaldTrump,ScotHound,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",#TrumpVirus
1302972258034614273,1303083250957643778,realDonaldTrump,Matt4star31,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?","Well considering I live in Rochester, this now an out right lie. No violence last night and you know why? The cops didn’t start firing tear gas at protesters. Fucking liar!"
1302700900272738305,1303083249229463552,realDonaldTrump,72bob72,Our Economy and Jobs are doing really well. Next Year will be a Record Setter. Stay Tuned!,Congratulations! You are an inspiration to the far right German Nazis. Perhaps Germany will be better for you to move to than Russia after you lose and before your arrest
1302961482716639233,1303083249133068291,realDonaldTrump,SkyAcresFarm,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!","Keep America Great &amp; Safe!!
🙏🏻❤️🇺🇸❤️🙏🏻"
1302970414394740736,1303083248961101826,realDonaldTrump,sundog734,"10.6 Million Jobs Created In Just 4 Months, A Record!!!","After losing 30 million jobs due to your ignorance and incompetence, gaining 10 million back is nothing to crow about Commander Bonespursmacfailface. It’s the worst job growth in recent history."
1302961482716639233,1303083248512372738,realDonaldTrump,CanuckUSA,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",Who’s giving you high marks?
1302972258034614273,1303083247828639744,realDonaldTrump,Sawamu_Brasil,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?","Boa tarde pessoal, 
Continuo na luta diária para sobreviver, preciso urgente de um trabalho, moro em Fortaleza e os dias tem sido difíceis. Quem puder me indicar alguma vaga ou consiga me ajudar com 12 reais para eu fazer uma refeição hoje, seria maravilhoso. Estou desesperado 🙏"
1302964489806139392,1303083247035912194,realDonaldTrump,Mcred9,"Will be having a Labor Day News Conference today at the White House, 1:00 P.M. Jobs number, and the Economic comeback, are looking GREAT. Happy Labor Day!","Oh please,  just let the people enjoy the holiday"
1302970414394740736,1303083245639262213,realDonaldTrump,PabloPinedoMD,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",LIAR!
1303006236078637064,1303083242183110656,realDonaldTrump,vogtfsmt,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",When you going to start sending them to jail?!?! Hurry up already!!!
1302996272249548807,1303083240807260162,realDonaldTrump,jkfromcali1,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",Was and still is a jerk!
1302961482716639233,1303083238865252352,realDonaldTrump,agsb60,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!","Thing about lies, they always catch up to you!  We are the worst in the world period!!"
1302970414394740736,1303083238609412096,realDonaldTrump,sojournero,"10.6 Million Jobs Created In Just 4 Months, A Record!!!","That is a lie, fascist"
1302961482716639233,1303083238357897216,realDonaldTrump,LarryKn83275692,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!","The lying King Trump, a Fake Vaccine so you get reelected it's not working no one is listing to your con game anymore"
1302970414394740736,1303083234926960641,realDonaldTrump,jennife06082338,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",All LIES
